type,name,notice,furigana
処理困難物,コンプレッサー,市が収集処理できないもの,こ
大型ごみ,コンポスト,50センチメートル以下は燃やせないごみ,こ
大型ごみ ,サーフボード ,"2メートル未満のものに限る
2メートル以上でも切断すれば大型ごみ",さ
大型ごみ ,座椅子 ,折りたたんだ状態で50センチメートル以下は燃やせないごみ,さ
特定大型ごみ ,サイドボード ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",さ
大型ごみ ,サウナ（家庭用） ,,さ
古紙類 ,雑紙 ,束ねて、ひもで十文字にしばる,さ
燃やせるごみ ,座布団 ,"1回で1枚から3枚ずつ排出する
長座布団も同様の扱い",さ
燃やせないごみ ,サマーベッド ,"折りたためるものに限る
折りたためないものは大型ごみ ",さ
燃やせないごみ ,皿 ,,さ
金属類 ,ざる ,「金属類」指定10品目,さ
処理困難物,酸素ボンベ（スキューバダイビング用） ,市が収集処理できないもの ,さ
燃やせないごみ ,三輪車（子ども用） ,大きさに関わらず燃やせないごみ,さ
衣類・布類 ,シーツ ,ボアシーツも同様の扱い　,し
燃やせるごみ ,CD・DVD ,ケースも含む　,し
燃やせないごみ ,CDプレーヤー ,50センチメートルを超えるものは大型ごみ,し
燃やせないごみ ,磁器 ,50センチメートルを超えるものは大型ごみ,し
燃やせるごみ ,磁器枕 ,,し
古紙類 ,辞書 ,,し
燃やせないごみ ,七輪 ,餅・魚の焼き網は「金属類」　,し
大型ごみ ,自転車 ,電動式の場合、バッテリーは取り外して販売店へ,し
燃やせないごみ ,竹刀 ,大きさに関わらず燃やせないごみ ,し
大型ごみ ,芝刈り機 ,"50センチメートル以下は燃やせないごみ
エンジン式は処理困難物",し
燃やせないごみ ,ジャッキ ,"50センチメートルを超えるものは大型ごみ
油圧式は処理困難物",し
燃やせないごみ ,三味線 ,,し
大型ごみ ,じゅうたん ,1畳以下は燃やせるごみ,し
大型ごみ ,シュレッダー ,50センチメートル以下は燃やせないごみ,し
古紙類 ,シュレッダーで裁断したごみ ,紙袋に入れる,し
処理困難物 ,浄化槽モーター ,市が収集処理できないもの,し
特定粗大ごみ ,消火器（家庭用） ,小型スプレー式は中を空にできない場合は特定粗大ごみ,し
燃やせないごみ ,焼却炉（家庭用） ,50センチメートルを超えるものは大型ごみ,し
燃やせないごみ ,将棋盤 ,"50センチメートルを超えるものは大型ごみ
厚さ20センチメートルを超えるものは処理困難物　",し
大型ごみ ,障子 ,3枚まで1点,し
燃やせないごみ ,照明器具 ,50センチメートルを超えるものは大型ごみ,し
大型ごみ ,除湿機 ,50センチメートル以下は燃やせないごみ,し
大型ごみ ,除湿乾燥機 ,50センチメートル以下は燃やせないごみ,し
特定大型ごみ ,書棚 ,50センチメートル以下は燃やせないごみ　1メートル以下は大型ごみ,し
燃やせないごみ ,食器洗い乾燥機 ,50センチメートルを超えるものは大型ごみ,し
燃やせないごみ ,食器乾燥機 ,50センチメートルを超えるものは大型ごみ,し
特定大型ごみ ,食器棚 ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",し
大型ごみ ,人口芝 ,1畳以下は燃やせるごみ,し
大型ごみ ,水槽 ,50センチメートル以下は燃やせないごみ,す
燃やせないごみ ,水筒 ,,す
燃やせないごみ ,炊飯器 ,"50センチメートルを超えるものは大型ごみ
ガス式は特定粗大ごみ",す
大型ごみ ,スーツケース ,50センチメートル以下は燃やせないごみ,す
